,name,last_name,age,gender,time,permanent_country,company,main_industry,wealth_source_details,industry,state,headquarters,countries,annual_income,daily_income,birth_year,name_cleaned
675,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,261928,1955,abdulla_bin_ahmad_al_ghurair
676,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,399254,1955,abdulla_bin_ahmad_al_ghurair
677,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,536021,1955,abdulla_bin_ahmad_al_ghurair
678,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,410391,1955,abdulla_bin_ahmad_al_ghurair
679,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,558904,1955,abdulla_bin_ahmad_al_ghurair
680,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,463109,1955,abdulla_bin_ahmad_al_ghurair
681,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,353506,1955,abdulla_bin_ahmad_al_ghurair
682,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,278868,1955,abdulla_bin_ahmad_al_ghurair
683,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,202520,1955,abdulla_bin_ahmad_al_ghurair
684,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2013,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,95604000,183780,1955,abdulla_bin_ahmad_al_ghurair
685,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,261928,1955,abdulla_bin_ahmad_al_ghurair
686,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,399254,1955,abdulla_bin_ahmad_al_ghurair
687,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,536021,1955,abdulla_bin_ahmad_al_ghurair
688,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,410391,1955,abdulla_bin_ahmad_al_ghurair
689,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,558904,1955,abdulla_bin_ahmad_al_ghurair
690,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,463109,1955,abdulla_bin_ahmad_al_ghurair
691,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,353506,1955,abdulla_bin_ahmad_al_ghurair
692,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,278868,1955,abdulla_bin_ahmad_al_ghurair
693,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,202520,1955,abdulla_bin_ahmad_al_ghurair
694,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2014,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,145728000,183780,1955,abdulla_bin_ahmad_al_ghurair
695,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,261928,1955,abdulla_bin_ahmad_al_ghurair
696,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,399254,1955,abdulla_bin_ahmad_al_ghurair
697,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,536021,1955,abdulla_bin_ahmad_al_ghurair
698,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,410391,1955,abdulla_bin_ahmad_al_ghurair
699,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,558904,1955,abdulla_bin_ahmad_al_ghurair
700,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,463109,1955,abdulla_bin_ahmad_al_ghurair
701,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,353506,1955,abdulla_bin_ahmad_al_ghurair
702,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,278868,1955,abdulla_bin_ahmad_al_ghurair
703,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,202520,1955,abdulla_bin_ahmad_al_ghurair
704,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2015,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,195647999,183780,1955,abdulla_bin_ahmad_al_ghurair
705,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2016,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,149793000,261928,1955,abdulla_bin_ahmad_al_ghurair
706,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2016,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,149793000,399254,1955,abdulla_bin_ahmad_al_ghurair
